player,birthplace
Anthony Davis,"Chicago, Illinois"
Talen Horton-Tucker,"Chicago, Illinois"
John Konchar,"Chicago, Illinois"
Kendrick Nunn,"Chicago, Illinois"
Evan Turner,"Chicago, Illinois"
Jahlil Okafor,"Chicago, Illinois"
Vic Law,"Chicago, Illinois"
Jabari Parker,"Chicago, Illinois"
Robert Covington,"Bellwood, Illinois"
Jevon Carter,"Oak Park, Illinois"
Mat Mooney,"Niles, Illinois"
Harrison Barnes,"Ames, Iowa"
Jake Layman,"Wrentham, Massachusetts"
Wilson Chandler,"Benton Harbor, Michigan"
Fred VanVleet,"Rockford, Illinois"
Shabazz Napier,"Roxbury, Massachusetts"
Edmond Sumner,"Detroit, Michigan"
Bruce Brown,"Boston, Massachusetts"
Pat Connaughton,"Arlington, Massachusetts"
Nerlens Noel,"Malden, Massachusetts"
Noah Vonleh,"Salem, Massachusetts"
Michael Carter-Williams,"Hamilton, Massachusetts"
Kevin Herter,"Albany, New York"
Georges Niang,"Lawrence, Massachusetts"
Denzel Valentine,"Lansing, Michigan"
Bryn Forbes,"Lansing, Michigan"
Monte Morris,"Grand Rapids, Michigan"
Devin Booker,"Grand Rapids, Michigan"
Tyler Herro,"Greenfield, Wisconsin"
Miles Bridges,"Flint, Michigan"
JaVale McGee,"Flint, Michigan"
Kyle Kuzma,"Flint, Michigan"
Kevon Looney,"Milwaukee, Wisconsin"
Deonte Burton,"Milwaukee, Wisconsin"
Tariq Owens,"Utica, New York"
Duncan Robinson,"York, Maine"
Thomas Bryant,"Rochester, New York"
Draymond Green,"Saginaw, Michigan"
Brian Bowen,"Saginaw, Michigan"
Isaiah Hartenstein,"Eugene, Oregon"
Jordan Poole,"Marshfield, Wisconsin"
Tyus Jones,"Burnsville, Minnesota"
Amir Coffey,"Hopkins, Minnesota"
Mike Muscala,"St. Louis Park, Minnesota"
Nigel Williams-Goss,"Happy Valley, Oregon"
Jerami Grant,"Portland, Oregon"
Domantas Sabonis,"Portland, Oregon"
Terrence Ross,"Portland, Oregon"
Avery Bradley,"Tacoma, Washington"
Jalen McDaniels,"Federal Way, Washington"
Zach LaVine,"Renton, Washington"
Marvin Williams,"Bremerton, Washington"
Kevin Porter Jr.,"Seattle, Washington"
Jaylen Nowell,"Seattle, Washington"
Allonzo Trier,"Seattle, Washington"
Dejounte Murray,"Seattle, Washington"
Gary Payton II,"Seattle, Washington"
Joe Harris,"Chelan, Washington"
Doug McDermott,"Grand Forks, North Dakota"
Blake Griffin,"Oklahoma City, Oklahoma"
Joe Ingles,"Adelaide, Australia"
Abdel Nader,"Alexandria, Egypt"
Alex Len,"Antratsyt, Ukraine"
Giannis Antetokounmpo,"Athens, Greece"
Thanasis Antetokounmpo,"Athens, Greece"
Kostas Antetokounmpo,"Athens, Greece"
Marc Gasol,"Barcelona, Spain"
Nemanja Bjelica,"Belgrade, Serbia (FRMR Yugoslavia)"
Alen Smailagic,"Belgrade, Serbia (FRMR Yugoslavia)"
Raul Neto,"Belo Horizonte, Brazil"
Moritz Wagner,"Berlin, Germany"
Dzanan Musa,"Bihac, Bosnia and Herzegovina"
Boban Marjanovic,"Boljevac, Serbia (FRMR Yugoslavia)"
Elie Okobo,"Bordeaux, France"
Tristan Thompson,"Brampton, Canada"
Dennis Schroder,"Braunschweig, Germany"
Serge Ibaka,"Brazzaville, Republic of the Congo"
Mfiondu Kabengele,"Burlington, Canada"
Patty Mills,"Canberra, Australia"
Timothe Luwawu-Cabarrot,"Cannes, France"
Dragan Bender,"Caplijina, Bosnia and Herzegovina"
Chris Boucher,"Castries, Saint Lucia"
Rodions Kurucus,"Cesis, Latvia"
Sviatoslav Mykhailiuk,"Cherkasy, Ukraine"
Vincent Poirier,"Clamart, France"
Sekou Doumbouya,"Conakry, Guinea"
