player,birthplace
Venson Hamilton,"Forest City, North Carolina"
Antwain Smith,"Newport News, Virginia"
Roberto Bergersen,"Seattle, Washington"
Rodney Buford,"Milwaukee, Wisconsin"
Melvin Levett,"Cleveland, Ohio"
Kris Clack,"Austin, Texas"
Tim Young,"Santa Cruz, California"
Manu Ginóbili,"Bahía Blanca, Argentina"
Eddie Lucas,"Groton, Connecticut"
Chris Andersen,"Long Beach, California"
Michael Batiste,"Los Angeles, California"
Kenyon Martin,"Saginaw, Michigan"
Stromile Swift,"Shreveport, Louisiana"
Darius Miles,"Belleville, Illinois"
Marcus Fizer,"Inkster, Michigan"
Mike Miller,"Mitchell, South Dakota"
DerMarr Johnson,"Washington, D.C."
Chris Mihm,"Milwaukee, Wisconsin"
Jamal Crawford,"Seattle, Washington"
Joel Przybilla,"Monticello, Minnesota"
Keyon Dooling,"Fort Lauderdale, Florida"
Jérôme Moïso,"Paris, France"
Etan Thomas,"Harlem, New York"
Courtney Alexander,"Bridgeport, Connecticut"
Mateen Cleaves,"Flint, Michigan"
Jason Collier,"Springfield, Ohio"
Hedo Türkoğlu,"Istanbul, Turkey"
Desmond Mason,"Waxahachie, Texas"
Quentin Richardson,"Chicago, Illinois"
Jamaal Magloire,"Toronto, Ontario"
Speedy Claxton,"Hempstead, New York"
Morris Peterson,"Flint, Michigan"
Donnell Harvey,"Shellman, Georgia"
DeShawn Stevenson,"Fresno, California"
Dalibor Bagarić,"Munich, West Germany"
"Iakovos ""Jake"" Tsakalidis","Rustavi, Georgian Soviet Socialist Republic, USSR"
Mamadou N'Diaye,"Dakar, Senegal"
Primož Brezec,"Postojna, SR Slovenia, SFR Yugoslavia"
Erick Barkley,"Queens, New York"
Mark Madsen,"Walnut Creek, California, U.S."
Marko Jarić,"Belgrade, SR Serbia, SFR Yugoslavia"
Dan Langhi,"Chicago, Illinois"
A.J. Guyton,"Peoria, Illinois"
Jake Voskuhl,"Tulsa, Oklahoma"
Khalid El-Amin,"Minneapolis, Minnesota"
Mike Smith,"West Monroe, Louisiana"
Soumaila Samake,"Bougouni, Mali"
Eddie House,"Berkeley, California"
Eduardo Nájera,"Ciudad Meoqui, Chihuahua, Mexico"
Lavor Postell,"Albany, Georgia"
Hanno Möttölä,"Helsinki, Finland"
Chris Carrawell,"St. Louis, Missouri"
Olumide Oyedeji,"Ibadan, Oyo State, Nigeria"
Michael Redd,"Columbus, Ohio"
Brian Cardinal,"Tolono, Illinois"
Jabari Smith,"Atlanta, Georgia"
DeeAndre Hulett,"Saginaw, Michigan"
